country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Northern Territory,Darwin Municipality,,,,ChIJr5qGU4CTwCwRx8qywxGK4sI,2021-04-29,13.0,7.0,67.0,-5.0,15.0,-1.0
AU,Australia,Northern Territory,Katherine Municipality,,,,ChIJN9SXBSHJuiwRDUq1es0i9zo,2021-04-29,,,,,11.0,
AU,Australia,Northern Territory,Litchfield Municipality,,,,ChIJtwZpIn6vwCwRV8LlfaFhgtI,2021-04-29,,,,,10.0,
AU,Australia,Northern Territory,Palmerston Municipality,,,,ChIJf6oVdLqiwCwRF3s4FkJaIhA,2021-04-29,11.0,,,-46.0,13.0,-1.0
AU,Australia,Queensland,Banana Shire,,,,ChIJYWw954fNwGsRTEeusLd5SI8,2021-04-29,,,,,0.0,
AU,Australia,Queensland,Brisbane City,,,,ChIJOQnQf63jk2sRC2qMcQI1vdU,2021-04-29,-8.0,2.0,-13.0,-26.0,-9.0,3.0
AU,Australia,Queensland,Bundaberg Regional,,,,ChIJb6C3sS6l62sRWGu6HL9eOzo,2021-04-29,-1.0,8.0,6.0,-16.0,12.0,1.0
AU,Australia,Queensland,Burdekin Shire,,,,ChIJa7xYCSEf2GsRaK4ow6r4AYI,2021-04-29,,,,,7.0,
AU,Australia,Queensland,Cairns Regional,,,,ChIJYc58zZn4eGkR35GhX5R6pkY,2021-04-29,7.0,21.0,-24.0,-33.0,10.0,1.0
AU,Australia,Queensland,Cassowary Coast Regional,,,,ChIJKbCOxr-3fmkRVKikkXha1Ts,2021-04-29,,0.0,-16.0,,17.0,2.0
AU,Australia,Queensland,Central Highlands Regional,,,,ChIJPVE7ZVacyGsRwEE4onaAUnU,2021-04-29,,,,,-4.0,1.0
AU,Australia,Queensland,City of Gold Coast,,,,ChIJ3cUXcZoakWsRtOKV8zbRDnw,2021-04-29,-12.0,4.0,-20.0,-28.0,-2.0,1.0
AU,Australia,Queensland,City of Ipswich,,,,ChIJa3qdnELIlmsRnLwGNb_4Gss,2021-04-29,0.0,7.0,34.0,-5.0,0.0,0.0
AU,Australia,Queensland,Douglas Shire,,,,ChIJKVD5LAD5d2kRZnELFenb7sw,2021-04-29,,,12.0,,14.0,
AU,Australia,Queensland,Fraser Coast Regional,,,,ChIJ-fkvD1l662sRv7UIhR3c-bg,2021-04-29,-3.0,-1.0,-14.0,-40.0,7.0,1.0
AU,Australia,Queensland,Gladstone Regional,,,,ChIJbXGfreCi6WsRJUOV6gBMY2o,2021-04-29,19.0,8.0,12.0,-8.0,7.0,1.0
AU,Australia,Queensland,Gympie Regional,,,,ChIJGwK8wJ-_lGsRxl0C5NCqFX0,2021-04-29,8.0,31.0,34.0,,9.0,0.0
AU,Australia,Queensland,Isaac Regional,,,,ChIJ3ze82rQ722sR-wi5G5haNUA,2021-04-29,,,5.0,,-7.0,
AU,Australia,Queensland,Livingstone Shire,,,,ChIJSVBnMB1O3WsRky6tZPquuQg,2021-04-29,11.0,,,,4.0,0.0
AU,Australia,Queensland,Lockyer Valley Regional,,,,ChIJL4PIVLLxlmsRyQLK356xsl0,2021-04-29,25.0,0.0,,,3.0,1.0
AU,Australia,Queensland,Logan City,,,,ChIJx-RJL084kWsRViA_-Hx2Iro,2021-04-29,9.0,10.0,14.0,-8.0,4.0,0.0
AU,Australia,Queensland,Mackay Regional,,,,ChIJ04e9GDqO3msRv-JCFi9dukg,2021-04-29,3.0,21.0,5.0,14.0,13.0,1.0
AU,Australia,Queensland,Maranoa Regional,,,,ChIJLeiC9xABumsRg1vgKU0tdAg,2021-04-29,,,,,1.0,
AU,Australia,Queensland,Mareeba Shire,,,,ChIJ9W_sf8QPhGkRYnSGG2EES6o,2021-04-29,,,18.0,,2.0,
AU,Australia,Queensland,Moreton Bay Region,,,,ChIJ6UiQKk7xk2sRyKqo8-CRz6A,2021-04-29,-1.0,19.0,-1.0,-16.0,-3.0,1.0
AU,Australia,Queensland,Mount Isa City,,,,ChIJN-Utm07oGWoRfJjhT8zMYbA,2021-04-29,12.0,,,,-9.0,
AU,Australia,Queensland,Noosa Shire,,,,ChIJVVJrq19nk2sRMYJahqRTjxo,2021-04-29,-1.0,-17.0,-32.0,16.0,2.0,1.0
AU,Australia,Queensland,Redland City,,,,ChIJc6p1eeVkkWsRtCw7T-o8YhI,2021-04-29,-7.0,14.0,-17.0,-20.0,-3.0,2.0
AU,Australia,Queensland,Rockhampton Regional,,,,ChIJSb3XKE6hw2sRcBHTlmQFE6I,2021-04-29,4.0,-5.0,,-23.0,3.0,1.0
AU,Australia,Queensland,Scenic Rim Regional,,,,ChIJmYHhJrwql2sRjF5U8twHqMw,2021-04-29,15.0,,11.0,,6.0,1.0
AU,Australia,Queensland,Somerset Regional,,,,ChIJCzECHrg9lGsRzOeUJn6ePhA,2021-04-29,,,,,11.0,0.0
AU,Australia,Queensland,South Burnett Regional,,,,ChIJ7UKWMeGdlWsRtIp_g_09cfs,2021-04-29,23.0,,,,4.0,0.0
AU,Australia,Queensland,Southern Downs Regional,,,,ChIJd-6MQZeHl2sRg2plpppPTyA,2021-04-29,12.0,-12.0,,,13.0,1.0
AU,Australia,Queensland,Sunshine Coast Regional,,,,ChIJWboNJ-uAk2sRHBo8iTm46p4,2021-04-29,-5.0,1.0,-5.0,-23.0,0.0,1.0
AU,Australia,Queensland,Tablelands Regional,,,,ChIJCfLNcTbvgWkRPNxfTbLNyIs,2021-04-29,14.0,,12.0,,11.0,
AU,Australia,Queensland,Toowoomba Regional,,,,ChIJexP-FYMklmsR0XyMuOBel34,2021-04-29,-1.0,5.0,-12.0,-52.0,6.0,1.0
AU,Australia,Queensland,Townsville City,,,,ChIJmd5rpCB8fWkREnXy_ASjVIU,2021-04-29,8.0,11.0,-19.0,4.0,5.0,0.0
AU,Australia,Queensland,Western Downs Regional,,,,ChIJJYctGvonvGsRSjXKix6QVNs,2021-04-29,8.0,,,,9.0,-3.0
AU,Australia,Queensland,Whitsunday Regional,,,,ChIJTwDqR-2U2WsRKauW7OAHhWk,2021-04-29,5.0,12.0,-17.0,-13.0,4.0,1.0
AU,Australia,South Australia,Adelaide City Council,,,,ChIJy52tqNXOsGoRtg5Tl_YDi68,2021-04-29,-10.0,4.0,-22.0,-3.0,5.0,6.0
AU,Australia,South Australia,Adelaide Hills Council,,,,ChIJGx6Lfu5It2oRZaNxPKJpDx4,2021-04-29,21.0,,-14.0,,-4.0,1.0
AU,Australia,South Australia,Alexandrina Council,,,,ChIJ6686AgPRtmoRejqIL0nAdvU,2021-04-29,,,-8.0,,11.0,
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2021-04-29,8.0,9.0,,1.0,-2.0,2.0
AU,Australia,South Australia,City of Burnside,,,,ChIJ-UoBJQvMsGoRgdMipD5Iawo,2021-04-29,0.0,12.0,,,7.0,2.0
AU,Australia,South Australia,City of Charles Sturt,,,,ChIJ0Ts3VsTFsGoRL8KyGmM4LaM,2021-04-29,-3.0,13.0,-34.0,12.0,-7.0,2.0
AU,Australia,South Australia,City of Holdfast Bay,,,,ChIJMc1ENFLasGoRwFIBq0PSRxo,2021-04-29,-16.0,-3.0,-28.0,-22.0,-6.0,2.0
