ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2021-04-28,AUS,GADM,AUS.7.37_1,Lockyer Valley,-4.1,17.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.38_1,Logan,3.8,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.40_1,Mackay,1.3,13.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.44_1,Moreton Bay,0.9,14.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.46_1,Mount Isa,2.6,12.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.55_1,Redland,-5.3,14.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.57_1,Rockhampton,3.9,15.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.58_1,Scenic Rim,6.9,18.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.59_1,Somerset,-3.9,17.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.60_1,South Burnett,8.3,19.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.61_1,Southern Downs,1.7,15.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.62_1,Sunshine Coast,1.8,13.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.63_1,Tablelands,-5.3,17.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.64_1,Toowoomba,2.5,15.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.67_1,Townsville,0.4,14.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.69_1,Western Downs,3.8,12.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.70_1,Whitsunday,6.5,15.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.7.8_1,Brisbane,1.0,14.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.11_1,Charles Sturt,-7.1,12.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.19_1,Gawler,5.8,14.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.1_1,Adelaide,-7.4,16.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.22_1,Holdfast Bay,-4.0,12.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.2_1,Adelaide Hills,-4.8,13.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.32_1,Marion,-8.5,13.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.8.34_1,Mitcham,-8.3,10.0,full_february,DAY_OF_WEEK
